No.,Map Ref. Point (Long.),Map Ref. Point (Lat.),Period,Hel,ER I,ER II,MR,LR,Byz,Islm
717,1503,1175,ER I ER II,0,1,1,0,0,0,0
718,1474,1174,ER I?-ER II,0,1,1,0,0,0,0
719,1474,1174,ER I?-ER II,0,1,1,0,0,0,0
720,1474,1174,ER I ER II,0,1,1,0,0,0,0
721,1474,1174,ER I ER II,0,1,1,0,0,0,0
722,1619,1171,ER I ER II,0,1,1,0,0,0,0
723,1637,1168,ER I ER II,0,1,1,0,0,0,0
724,1637,1168,ER I ER II,0,1,1,0,0,0,0
725,1481,1165,ER I ER II,0,1,1,0,0,0,0
726,1481,1165,ER I ER II,0,1,1,0,0,0,0
727,1416,1157,ER I ER II,0,1,1,0,0,0,0
728,1588,1155,ER I ER II,0,1,1,0,0,0,0
729,1443,1154,ER I ER II,0,1,1,0,0,0,0
730,1418,1152,ER I ER II,0,1,1,0,0,0,0
731,1432,1152,ER I ER II,0,1,1,0,0,0,0
732,1422,1147,ER I ER II,0,1,1,0,0,0,0
733,1642,1143,ER I ER II,0,1,1,0,0,0,0
734,1609,1143,ER I ER II,0,1,1,0,0,0,0
735,1610,1139,ER I ER II,0,1,1,0,0,0,0
736,1310,1130,Byz,0,0,0,0,0,1,0
737,2037,1130,ER I,0,1,0,0,0,0,0
738,2037,1130,ER I,0,1,0,0,0,0,0
739,1347,1121,ER I ER II,0,1,1,0,0,0,0
740,1323,1119,ER I ER II,0,1,1,0,0,0,0
741,1323,1119,ER I ER II,0,1,1,0,0,0,0
742,1323,1119,ER I ER II,0,1,1,0,0,0,0
743,1323,1119,ER I ER II,0,1,1,0,0,0,0
744,1404,1113,Hel,1,0,0,0,0,0,0
745,1404,1113,Hel,1,0,0,0,0,0,0
746,1404,1113,Hel,1,0,0,0,0,0,0
747,1854,1106,ER,0,0,0,0,0,0,0
748,2134,1094,ER I ER II,0,1,1,0,0,0,0
749,1665,1092,ER I ER II,0,1,1,0,0,0,0
750,1623,1090,ER I ER II,0,1,1,0,0,0,0
751,1623,1090,ER I ER II,0,1,1,0,0,0,0
752,1428,1088,ER I ER II,0,1,1,0,0,0,0
753,2093,1085,Hel?-ER,1,0,0,0,0,0,0
754,2093,1085,Hel?-ER,1,0,0,0,0,0,0
755,2093,1085,Hel?-ER,1,0,0,0,0,0,0
756,1474,1084,ER I ER II,0,1,1,0,0,0,0
757,1431,1079,ER I ER II,0,1,1,0,0,0,0
758,1431,1079,ER I ER II,0,1,1,0,0,0,0
759,1482,1070,ER I ER II,0,1,1,0,0,0,0
760,1402,1069,ER I ER II,0,1,1,0,0,0,0
761,1447,1067,ER I ER II,0,1,1,0,0,0,0
762,1599,1065,ER I ER II,0,1,1,0,0,0,0
763,1418,1050,ER I ER II,0,1,1,0,0,0,0
764,1418,1050,ER I ER II,0,1,1,0,0,0,0
765,1431,1046,ER I ER II,0,1,1,0,0,0,0
766,1394,1044,ER I ER II,0,1,1,0,0,0,0
767,1470,1040,ER I ER II,0,1,1,0,0,0,0
768,1395,1033,ER I ER II,0,1,1,0,0,0,0
769,1409,1028,ER I ER II,0,1,1,0,0,0,0
770,1409,1028,ER I ER II,0,1,1,0,0,0,0
771,1442,1020,ER I ER II,0,1,1,0,0,0,0
772,1626,1014,Byz?,0,0,0,0,0,1,0
773,1679,1001,ER I ER II,0,1,1,0,0,0,0
774,1641,995,,0,0,0,0,0,0,0
775,1396,995,ER I ER II,0,1,1,0,0,0,0
776,1396,995,ER I ER II,0,1,1,0,0,0,0
777,1396,995,ER I ER II,0,1,1,0,0,0,0
778,1643,985,LR-Byz,0,0,0,0,1,1,0
779,1634,984,LR-Byz,0,0,0,0,1,1,0
780,1663,970,,0,0,0,0,0,0,0
781,1650,968,LR-Byz,0,0,0,0,1,1,0
782,1872,966,ER I ER II,0,1,1,0,0,0,0
783,1872,966,ER I ER II,0,1,1,0,0,0,0
784,1872,966,ER I ER II,0,1,1,0,0,0,0
785,1872,966,ER I,0,1,0,0,0,0,0
786,1418,963,ER I ER II,0,1,1,0,0,0,0
787,1575,959,LR-Byz,0,0,0,0,1,1,0
788,1623,934,,0,0,0,0,0,0,0
789,1375,914,ER,0,0,0,0,0,0,0
790,1627,909,"ER I ER II, Byz MR LR",0,1,1,1,1,1,0
791,1627,909,,0,0,0,0,0,0,0
792,1627,909,,0,0,0,0,0,0,0
793,1300,907,Byz,0,0,0,0,0,1,0
794,1598,905,ER?,0,0,0,0,0,0,0
795,1598,905,Byz,0,0,0,0,0,1,0
796,1598,905,Byz,0,0,0,0,0,1,0
797,1598,905,Byz,0,0,0,0,0,1,0
798,1598,905,Byz,0,0,0,0,0,1,0
799,1598,905,Byz,0,0,0,0,0,1,0
800,1598,905,"ER I ER II, Byz LR MR",0,1,1,1,1,1,0
801,1598,905,Byz,0,0,0,0,0,1,0
802,1598,905,Byz,0,0,0,0,0,1,0
803,1598,905,Byz,0,0,0,0,0,1,0
804,1598,905,Byz,0,0,0,0,0,1,0
805,1598,905,Byz,0,0,0,0,0,1,0
806,1598,905,Byz,0,0,0,0,0,1,0
807,1598,905,Byz,0,0,0,0,0,1,0
808,1598,905,Byz,0,0,0,0,0,1,0
809,1598,905,Byz,0,0,0,0,0,1,0
810,1598,905,Byz,0,0,0,0,0,1,0
811,1598,905,Byz,0,0,0,0,0,1,0
812,1598,905,Byz,0,0,0,0,0,1,0
813,1598,905,Byz,0,0,0,0,0,1,0
814,1598,905,Byz,0,0,0,0,0,1,0
815,1598,905,Byz,0,0,0,0,0,1,0
816,1598,905,Byz,0,0,0,0,0,1,0
817,1598,905,Byz,0,0,0,0,0,1,0
818,1598,905,Byz,0,0,0,0,0,1,0
819,1598,905,Byz,0,0,0,0,0,1,0
820,1598,905,Byz,0,0,0,0,0,1,0
821,1598,905,Byz,0,0,0,0,0,1,0
822,1598,905,Byz,0,0,0,0,0,1,0
823,1420,904,ER? ER I ER II,0,1,1,0,0,0,0
824,1432,895,ER I ER II,0,1,1,0,0,0,0
825,1374,868,"ER I ER II, Byz MR LR",0,1,1,1,1,1,0
826,1562,846,,0,0,0,0,0,0,0
827,1464,813,ER I ER II,0,1,1,0,0,0,0
828,1464,813,ER I ER II,0,1,1,0,0,0,0
829,1564,807,,0,0,0,0,0,0,0
830,1836,805,ER I,0,1,0,0,0,0,0
831,1836,805,ER I,0,1,0,0,0,0,0
832,1836,805,ER I,0,1,0,0,0,0,0
833,1836,805,ER I,0,1,0,0,0,0,0
834,1836,805,ER I,0,1,0,0,0,0,0
835,1836,805,ER I,0,1,0,0,0,0,0
836,1836,805,ER I,0,1,0,0,0,0,0
837,1836,805,ER I,0,1,0,0,0,0,0
838,1836,805,ER I,0,1,0,0,0,0,0
839,1836,805,ER I,0,1,0,0,0,0,0
840,1836,805,ER I,0,1,0,0,0,0,0
841,1836,805,ER I,0,1,0,0,0,0,0
842,1836,805,ER I,0,1,0,0,0,0,0
843,1836,805,ER I,0,1,0,0,0,0,0
844,1836,805,ER I,0,1,0,0,0,0,0
845,1836,805,ER I,0,1,0,0,0,0,0
846,1836,805,ER I,0,1,0,0,0,0,0
847,1836,805,ER I,0,1,0,0,0,0,0
848,1620,760,ER I ER II,0,1,1,0,0,0,0
849,2148,733,Hel?-ER I ER II,1,1,1,0,0,0,0
850,2148,733,Hel?-ER I ER II,1,1,1,0,0,0,0
